game_id,num_plays
2022_08_CIN_CLE,165
2022_08_DEN_JAX,180
2022_08_GB_BUF,165
2022_08_LV_NO,159
2022_08_MIA_DET,167
2022_08_NE_NYJ,183
2022_08_NYG_SEA,176
2022_08_PIT_PHI,175
2022_08_SF_LAR,149
2022_08_TEN_HOU,158
2022_08_WAS_IND,159
2022_09_BAL_NO,164
2022_09_BUF_NYJ,163
2022_09_CAR_CIN,166
2022_09_GB_DET,165
2022_09_IND_NE,173
2022_09_LAR_TB,192
2022_09_LAC_ATL,170
2022_09_LV_JAX,174
2022_09_MIA_CHI,184
2022_09_MIN_WAS,174
2022_09_PHI_HOU,165
2022_09_SEA_ARI,186
2022_09_TEN_KC,200
2022_10_ARI_LAR,179
2022_10_ATL_CAR,178
2022_10_CLE_MIA,172
2022_10_DAL_GB,197
2022_10_DEN_TEN,192
